"Year","September","October","November","December","January","February","March","April","May","June","July","August"
"1549","1.25","1.38","1.5","1.31","1.44","1.4","1.38","1.38","1.5","1.5","1.5","1.25"
"1550","1.38","1.63","1.63","1.88","1.9","1.81","1.85","2","2.25","2","2.06","1.75"
"1551","1.56","1.69","1.56","1.63","1.75","1.75","1.75","1.75","1.88","1.88","1.75","1.31"
"1552","1.75","2.31","2.25","2.5","2.75","3","3.25","3","2.75","2.13","1.5","1.5"
"1553","1.38","1.69","1.63","1.5","1.63","1.63","1.63","1.63","2","2.19","2","1.5"
"1554","1.63","1.63","1.81","1.88","1.75","1.75","1.75","1.56","1.5","1.88","1.44","1.38"
"1555","1.5","1.5","1.63","1.5","1.5","1.38","1.63","1.5","1.63","1.56","1.5","1.75"
"1556","1.88","1.75","1.75","2.13","2.13","-","-","-","-","-","-","-"
"1557","-","-","-","-","-","-","-","-","3.25","3.25","2.25","1.38"
"1558","1.38","1.5","1.5","1.38","1.38","1.25","1.13","1","1","1","1.13","1"
"1559","1","1.38","1.38","1.38","1.5","1.4","1.52","1.63","1.9","1.75","1.5","1.75"
"1560","1.75","2.19","2","2.06","2","2","2.13","2","1.75","1.63","1.75","1.31"
"1561","1.4","1.5","1.75","1.75","1.63","1.63","1.63","1.75","1.88","1.9","1.63","1.81"
"1562","1.88","2.75","2.5","2.5","2.5","3","3","2.88","2.63","2.13","2.38","2.63"
"1563","2.75","3.13","3.5","4.25","5","4.75","4.75","4.38","5","4.13","3.38","2"
"1564","2","2.06","2.5","2.25","2.13","2.15","1.9","1.75","1.88","2","1.5","1.25"
"1565","1.5","1.63","1.75","1.75","1.75","1.9","2","2.19","2.63","3.25","3.5","3.38"
"1566","4","5.5","5.5","7","7.5","6.5","6.5","6","6.25","8","5","2.56"
"1567","3.25","3.75","3.63","3.75","3.75","3.5","3.25","3.5","2.75","3.38","3","3.63"
"1568","3.63","4.75","6.5","5","5.5","5.25","6","7.25","6","3.63","2.25","1.9"
"1569","1.8","1.9","2.1","1.9","2","2.1","2.2","2.5","3","3","2.7","2.25"
"1570","2.1","2.2","2.5","2.3","2.3","2.3","2.2","2.2","2.2","2.5","2.3","1.95"
"1571","2","2.4","2.7","2.8","3","3.5","3.4","3.13","3","2.9","2.8","2.75"
"1572","3.25","4.2","4","4","3.75","3.75","3.6","3.5","4","4","3.1","3.1"
"1573","3.75","4","4","4","4.5","3.5","4.4","4.75","6.4","12","8","6.25"
"1574","7","8.5","8.88","8.6","9","7.5","9.63","10","9","7.25","6.25","3.6"
"1575","4","4","3.33","2.75","3.4","2.88","3","3","3.3","3","3.25","2.75"
"1576","2.4","2.5","2.8","2.7","2.8","2.85","3","3.5","4","4","3.25","3.2"
"1577","3.5","4","3.75","4","4","3.75","3.3","3.3","3.5","3.6","3.4","2.4"
"1578","2.4","2.5","4.1","3.75","3.4","2.75","2.6","2.4","2.5","2.5","2.7","3.2"
"1579","3.25","3.25","3.25","2.88","2.9","3","2.75","2.4","2.75","2.5","2.5","2.75"
"1580","2.75","3.25","3.25","3.2","3","2.9","3","3.25","3.6","3.25","3.25","2.75"
"1581","2.65","2.5","2.5","2.5","2.5","2.7","2.5","2.75","2.3","2.5","2.2","2.6"
"1582","2.7","2.75","3","2.75","2.9","2.9","2.8","3","3","3.25","3","3.5"
"1583","4","3","4.75","4","4.5","4.6","5","6.38","5.25","5","5","5.25"
"1584","5","5.25","5.75","5.25","5.5","6","5.25","5.5","5","5","5.25","4.75"
"1585","3","3.75","3.38","3","3","3","3","3.25","3.25","3.5","4","3.5"
"1586","3","3.5","4.25","3.75","4.5","3.75","4.5","7","8","9","9","7"
"1587","7","10","11","10.25","10.75","11.5","12","14","15.75","18.5","15.5","10"
"1588","6.5","6.5","6.25","7","5.75","5","5.25","4","3.5","3","3","3"
"1589","3.13","3.13","3.5","3","3.5","3","2.75","3","4.5","4.25","4","5.5"
"1590","","","","","","","","","","","",""
"1591","36","12","14","14","25.5","24","24","19","16","21","16","10"
"1592","11","12","12","13","9.5","11","9","9.25","6.5","7.5","8","6.5"
"1593","6.6","8","7","12","9","9","10","11","14","13","11","7"
"1594","6","6","6","6.5","7","8","9","5","5","6","4.5","6"
"1595","4","4.5","5.25","6.5","7.5","8.5","9.25","9.5","12.5","14","9.5","9.5"
"1596","6.75","8.5","9","9.5","10","11","12.5","9.5","7.75","8","10.5","7"
"1597","5","5.75","5.25","5.6","6","7","8.5","8.5","9.5","12","11.75","6"
"1598","6.5","7.5","8.25","8.5","8.5","8.5","8.25","7.75","8","7.25","6","5"
"1599","5.5","5","4.75","5","4.5","4","4.5","3","3.25","3.25","3.25","3"
"1600","3.75","3.25","4.25","3.25","3.25","3.25","3","3","3.5","3.3","3.5","3"
"1601","3.25","4","4.5","4.25","4","3.5","3.5","4.25","4","4.25","3.63","3.13"
"1602","3","3.13","3.5","3.5","3.25","3.25","3.25","3.13","3","2.9","3","2.75"
"1603","2.75","3.25","3.5","3.38","4.13","3.6","3.75","4","4.13","5.75","5","6"
"1604","5.5","5.5","5.5","5.5","5.5","5.25","5.13","4.75","4.5","3","3","2.75"
"1605","2.75","3.25","3.5","3.3","3.25","3.2","3.25","3.38","4","3.5","3.25","3.13"
"1606","3","3.25","3","2.9","3.13","2.75","3","3.13","2.9","2.75","2.63","2.75"
"1607","2.75","3","3","3.2","3","3.35","3","3.4","3.25","3.2","3.25","3"
"1608","3.13","3.38","3.5","3.75","3.95","4","4.75","4.5","5.25","6","6","6.38"
"1609","5","5.5","5.38","5","5.38","5.25","5.25","5.75","5.2","4.75","4","4.25"
"1610","3.25","4","3.6","4.13","3.75","4","3.75","3.8","3.5","3.38","3.5","3.25"
"1611","3.75","4.25","4","4","3.75","4.63","3.75","3.75","3.5","5.25","4.25","4"
"1612","4","4.25","4","4.5","4","4.31","4.5","5.25","5.5","4.75","4","4.5"
"1613","4.5","4","4.5","4","4.5","4","3.75","4","3.5","3.75","3.5","3.25"
"1614","3.75","3.5","4","3.75","3.7","3.65","3.5","4","4.5","5.75","5.5","5.25"
