"Year","September","October","November","December","January","February","March","April","May","June","July","August"
"1549","1.63","2.06","2.13","1.94","2.13","2.06","1.9","2","2.19","2.31","2.13","2.13"
"1550","1.94","2","2.38","2.25","2.13","2","2.13","2.2","2.5","2.88","3.13","3.13"
"1551","2.44","2.56","2.63","2.31","2.38","2.5","2.5","2.5","2.25","2.25","1.75","1.63"
"1552","2","2.5","2.5","2.25","2.25","2.31","2.63","2.88","2.75","2.75","2.63","2.56"
"1553","2.25","2.56","2.31","2.25","2.25","2.25","2.38","2.56","2.75","3.25","3.38","3.19"
"1554","2.75","3","3","3","3.75","2.75","2.88","2.5","2.5","2.69","2.63","2.31"
"1555","2.34","2.63","2.81","2.63","2.88","2.75","2.75","2.63","2.69","2.56","2.5","2.6"
"1556","2.63","2.38","2.5","2.75","2.5","-","-","-","-","-","-","-"
"1557","-","-","-","-","-","-","-","-","4","4.25","3.75","2.38"
"1558","2.06","2.63","2.63","2.38","2.25","2","2.13","2","1.88","2","1.97","1.75"
"1559","1.75","2.41","2.41","2.3","2.44","2.19","2.44","2.41","3.5","3.06","2.41","2.63"
"1560","2.52","2.95","2.63","2.84","2.88","2.63","2.84","2.63","2.41","2.41","2.63","2.41"
"1561","2.44","2.63","2.44","2.19","2.19","2.41","2.41","2.28","2.41","3.15","2.44","2.63"
"1562","3.15","3.61","3.41","3.15","3.32","3.59","3.5","3.5","3.5","3.68","3.5","3.32"
"1563","2.63","3.17","2.97","4.38","3.68","3.32","3.06","3.06","3.5","3.32","3.5","3.17"
"1564","3.5","3.94","3.72","3.68","3.68","3.59","3.5","3.32","2.88","3","2.88","3"
"1565","2.75","2.9","3","2.75","3.25","2.9","3.15","3.13","3.25","3.5","3.75","3.38"
"1566","4","4.5","4.13","5","5.38","5","5","5","6.25","7.75","6.25","5"
"1567","4.38","5.25","5","4.75","4.63","4.25","4.25","3.88","4","4.25","4.75","5.88"
"1568","6","7","9.5","8.25","7","6.88","7.25","7","6.75","6.25","4.5","3.88"
"1569","4","4.6","4.5","4.5","4","4.3","4.3","4.25","4.25","4.75","3.75","3.5"
"1570","3.1","3.5","3.35","3.35","3.25","3.6","3.5","3.2","3.5","3.4","2.9","3.2"
"1571","3.15","3.6","4","4","4","4.6","4.5","3.6","4","3.63","3.7","3.6"
"1572","4","5","4.5","4.4","4.25","4.25","4","5","4.75","5.6","5","4.8"
"1573","6","5.75","5","6.5","6","5.5","5.25","5.25","6.3","8.5","8","9"
"1574","6.25","8.25","7","6.5","8","7.25","7.63","7.75","8","7","5.5","5.25"
"1575","5.25","5.75","5","4.75","5","5","5.2","4.6","4.6","4","4","3.5"
"1576","3.5","3.6","4","4.25","4","4","4","4.25","4.25","4.25","4.2","4.25"
"1577","3.9","4","4.25","4.4","4.2","3.9","3.5","3.5","3.5","3.5","3.6","3"
"1578","3.25","3.63","5","4.5","4.63","3.75","3.75","3.5","4","4.5","4.25","4.4"
"1579","4.4","5","4.8","5","4.75","4.75","4.75","4.5","4","4.25","4.63","4.5"
"1580","4.6","5","4.9","4.8","4.6","4.5","4.6","4.6","5","5.2","5.1","5.75"
"1581","4.5","4.63","4","4.25","4.75","4","3.75","4.25","3.9","4","4","3.5"
"1582","4.6","4.6","4.8","5.2","4.9","4.75","4.75","4.75","4.8","4.8","5","4.75"
"1583","5.25","4.25","4.6","4.5","5.25","5.25","4.5","5.25","5.1","5.25","5.4","5.3"
"1584","5.25","6.25","6.25","6.4","7","7.25","6.8","6.25","5.6","6.5","6.1","5"
"1585","4.75","5.63","5.75","5","4.8","5","5","6.25","4.8","4.75","4.75","4.5"
"1586","4.6","4.5","5","5","5.25","4.75","4.63","6","6.75","8","8","8"
"1587","6","7.25","8","7.75","8","7.5","8","9.25","10.5","11.5","13","14"
"1588","9","8","9","9.75","10","8.5","8","6.25","4.75","5","5.5","4.25"
"1589","5","5.75","5","5.25","5.25","4.75","4.75","5","5.6","6.25","6.25","6.5"
"1590","5.38","6","8","7","7.75","7.7","7.5","8.5","8","7.5","8.75","10.5"
"1591","16","15","17","18","25.5","27","25","19","16.25","18","17","12"
"1592","12","12","13","18","14","11","10","10","8","9","8","7"
"1593","7.35","8","9","9","10","10","10","10.5","10.5","11","10.5","10"
"1594","9","9","9.5","8","9.25","9.5","11.5","8","7","7","6.75","6.5"
"1595","6","6.5","7","7","7.5","8","8.5","8.75","9.5","11","10","9.5"
"1596","7.5","8.75","9","9.5","9.5","10.25","11.75","10.5","8.5","8.5","9","9"
"1597","6","6.5","7.25","7.5","7.5","8","9.25","9.5","9.5","11.25","11.75","12"
"1598","8.75","10","9.75","9.5","9.5","9.5","10","8.75","9.25","8.5","6","5.38"
"1599","5.75","6.5","6","6.25","5.5","5.75","5.25","5.25","5.5","5.5","5.25","5.63"
"1600","4.75","5","4.5","4.75","5.25","4.75","5.38","4.75","5.25","5.5","6.25","5.5"
"1601","6.25","7.5","7.25","6.88","7","6.5","6.5","6.25","6","6.75","5.88","4.5"
"1602","4.5","4.5","4.38","5.75","4.75","4.5","4.5","4.25","3.75","4","5","4.75"
"1603","4","5","4.5","4.38","4.25","4.5","4.25","4.4","4.63","6","7.5","7.25"
"1604","7.5","8.4","7.75","8.25","8","7.5","7.25","7.25","6.5","5.38","5.5","5.8"
"1605","4.75","5","5.25","5.25","5","5","4.88","5","5","5","5.13","5"
"1606","4.38","4.5","4.6","4.5","4.63","4.5","4.25","3.8","4","4.2","4.25","4.2"
"1607","3.75","4","4.25","4.25","4.25","4","4.25","3.88","4","4","3.88","4.5"
"1608","3.75","4","3.75","4","5","4.63","4.25","4.25","5.25","4.75","4.75","4.75"
"1609","5","5.25","5.25","5.63","6.5","6.25","5.75","5.5","5.25","5","5.25","5.5"
"1610","4.6","5.75","5.65","5.6","5.75","7","5.5","6.5","5.75","6.63","6.5","6.6"
"1611","7.5","7","8","8","7.5","7.5","7.25","7.25","7","8","7.75","7"
"1612","6.75","7.25","7.25","7.13","7.6","8","7","7.25","7.5","7.4","6.6","7.5"
"1613","6.75","7.25","7.4","7.38","7.5","7.5","7","7.3","7","7.25","6.75","6.35"
"1614","5.5","5","5.38","5.5","5.5","5.25","4.75","5.6","5.5","6","5.75","5.75"
"1615","5.5","6","6","6.6","6","6","5.75","7","6.4","6.25","8.75","8"
"1616","8.5","8.5","9","8.75","8.75","8.4","8.75","8.4","8","6","5.5","5.25"
"1617","5","5","5.25","4.75","4.75","4.75","5","4.75","5.75","5.5","5.4","5"
"1618","5","5.25","6.25","6.13","6.75","7","7","7","7.75","7.25","7.25","7"
"1619","6.75","6","6.75","6.5","6.5","6","6.88","6.25","6.25","6","6","6.25"
"1620","5.63","6","6.25","5.75","5.75","6","6","6.5","6.25","6.5","6.9","6"
"1621","5.5","6.6","5.25","5.38","5.25","5.5","5.75","5.35","5.75","6","6.25","6.25"
"1622","6","6.5","6.4","6.75","7","7","7","7","7.5","7","7.5","8"
"1623","6.25","6","6.25","6.25","6","6.5","7","7","6.4","6.13","6.25","6"
"1624","6.25","6.13","6.4","6.25","6.25","6","7.5","6.5","6.5","6.25","6.5","6.63"
"1625","6","6.5","7.5","7.5","7.25","7","7.25","7","7.25","7","7.4","7.75"
"1626","7.2","7.75","8.5","8.5","12","10","9.75","11.75","14","14","11.5","12.5"
"1627","8.5","8.5","9","11.5","10","10","11","10.5","11","10.5","9.75","8.5"
"1628","8","8.25","9","9.5","9","9","9.5","10","9","9","8.5","8.5"
"1629","6.5","6.75","6.5","7.5","7","8","7.38","7","6.5","7.25","6.75","6.75"
"1630","6.5","7","7.25","6.75","6.63","7","7","7","7.5","7","9","9.5"
"1631","10","10","12.5","12","12","12","13","13","11.2","11","11.5","10.75"
"1632","9.5","10.75","10.75","10.63","12","10.5","10","10.5","10.5","12","12.5","12"
"1633","9.5","8","9.5","9","9","8","9","9","8.5","9","8","7.5"
"1634","6.63","8","8.75","9","9","9","9","9","9.5","9","10.5","10"
"1635","9.5","9.5","10.5","10.75","10.5","10","11","10.5","10.5","10.75","11","10.5"
"1636","10","10.5","11","11","11","11","10.5","11","11","11.5","11.75","12"
"1637","10","10.5","11","12","11.5","11.25","12","12","12.5","12","11.5","10.5"
"1638","10.25","10","10.5","11","11","11","11","10.5","10.5","10.5","10","9.25"
"1639","8","8.75","9","8.25","8","8","8","8.25","8","8","7.25","7"
"1640","8","7","6.75","7","8","7.75","7.75","7","7.63","8","7.5","8.38"
"1641","7","8","8","9.5","11","10.75","11.25","11.1","10.5","10.5","10.5","10"
"1642","9.75","9.5","10","10.5","10","9.25","10.5","10.25","9.5","10","10.25","11"
"1643","","","","","","","","","","","",""
"1644","11.5","12","13","12.5","13","12.5","14","13","13.75","14","11","12"
"1645","10.75","12","12.5","12.5","12","11.5","12","12","11.75","12.5","12.5","12"
"1646","11.5","10","9.5","9","10","10","10.75","10","8.5","9","10","12"
"1647","10.75","10","10.75","10","10.5","11","11.5","11.5","12","11.5","9.5","8.5"
"1648","9","8","8","8","8.25","8","9.5","8","8.5","9","8.5","8"
"1649","8","7.5","8","8","8","10.5","13","10","9.5","8","8.5","8"
"1650","8","9","12","10.75","11.25","11","11","11.5","10.75","10","10","10"
"1651","9","9","10.75","11.5","12","13","13","14","14","14","15.5","13"
"1652","14.5","14","14","14","13.5","13","14","12.5","13","14","16","16"
"1653","13","18","18","15.75","16","14","15","18","12.5","11.5","11.5","11.5"
"1654","10.5","12","12.25","13","14","14.5","14","14.25","13.5","12","14.5","11.75"
"1655","12","10.5","11","11","11","9.5","10.5","10","10","10","11.5","11.5"
"1656","8.75","8.5","9","8.75","10.5","8.75","9.5","10.25","10","11","11","11"
"1657","12","11.5","11.75","12","12.25","12","12","11.5","12","11.75","12","11"
"1658","10.5","11.5","11.25","11","10.75","10.5","12","12","10.5","11","11","12"
"1659","9.5","11","10","10","10","11","10.5","9","10","10","10","10"
"1660","9.5","10.5","10.5","10.25","11","12","12.25","12","12.5","12","12","12"
"1661","11.5","14","15.75","15.5","15","16.25","16.5","16","15","15.5","17","15"
"1662","16.5","20","21.5","21","20.25","21","21","22","20","22","22","18"
"1663","","","","","","","","","","","",""
"1664","10","10","10","10.5","9.5","10","10","9.75","10","10.75","10","9.5"
"1665","9.5","9.5","9.5","9.25","9.5","10","10.75","11","13.5","11","12","11.5"
"1666","10.5","10.25","10.5","10.25","11","11","12","11.5","11","11","11.88","10"
"1667","9","10","10","10","9.5","9.5","9.75","9","9","9.5","9.75","11"
"1668","11","9.5","10","9.5","9","9.5","9","9.5","9.5","9","9.5","8.75"
"1669","7.5","7.5","7.25","7.75","7.5","7.13","8","8","7.5","7.75","8.75","8"
"1670","7.5","7","7.5","8","8","7.75","8","8.5","8.25","8.25","9.75","9"
"1671","9","7.5","8.25","7.5","7.5","6.78","7","7.88","7","6.56","6.78","6.56"
"1672","6.56","6.56","7.31","6.56","6.13","6.56","7.22","7.22","7.44","7.44","8.09","8.75"
"1673","8.97","8.31","8.97","9.19","9.19","8.97","9.19","9.19","8.97","8.75","8.53","8.31"
"1674","7.22","6.78","6.78","7","7","6.78","7.66","8.31","8.09","8.09","8.75","10.06"
"1675","9.19","8.53","9.19","9.84","9.84","10.28","10.72","10.06","10.28","10.28","9.84","9.19"
"1676","9.63","7.66","8.09","8.31","8.31","8.09","8.31","8.09","8.31","8.53","8.09","8.97"
