Year,Sept,Oct,Nov,Dec,jan,Feb,Mar,Apr,May,Jun,Jul,Aug
1549,2.75,2.79,2.75,2.92,2.88,2.75,2.88,2.75,2.75,2.67,2.83,3.13
1550,3.21,3.75,3.75,4.54,4.67,4.38,4.5,4.17,4.25,3.88,4.42,3.92
1551,3.5,3.33,3.38,3.5,3.67,3.58,3.63,3.25,3.25,3.44,3.58,4.58
1552,4.83,5.58,5.92,5.58,5.75,5.92,5.5,5.25,5,4.58,4.83,4.25
1553,3.83,3.88,3.92,3.88,3.67,3.75,3.5,3.58,3.63,4,4.42,4
1554,3.46,3.75,3.75,3.75,3.75,3.5,3.5,3.25,3.21,3.33,3.29,3
1555,2.88,3,3,2.75,3,2.75,2.83,2.67,2.75,2.67,2.83,2.83
1556,3.42,3.58,4,4.25,4.38,-,-,-,-,-,-,-
1557,-,-,-,-,-,-,-,-,6,6,6.13,6
1558,3.5,4.13,3.5,3.33,3.25,2.75,3.17,3,2.92,2.83,2.88,2.83
1559,2.83,3.5,3.83,3.58,3.75,3.63,3.75,3.67,3.88,3.63,3.58,3.5
1560,3.63,4,3.88,3.88,3.88,3.88,3.88,3.88,3.5,3.5,3.75,4.25
1561,4.13,4.17,4.13,4.25,4.25,4.13,4.44,4,4.25,4.38,3.92,4.21
1562,4.75,5.88,5.63,5.25,5.4,5.75,5.5,5.63,5.5,5.63,6,6.5
1563,6.33,7.17,7.25,9,8.5,8.5,7.75,7.83,8.25,8.46,8,5.5
1564,5.25,5.17,4.63,4.5,4.42,4,4,3.63,3.33,3.75,3.75,4.17
1565,4.29,4,4.08,4.08,4.5,4.25,4.75,4.5,5,6.38,6.33,6.67
1566,9.75,10.67,9.75,10.67,10.75,10.38,10.25,9.5,10.25,11.75,18,11
1567,8.33,8.25,7.25,7.88,7.75,7.17,6.75,6,5.5,6.17,6.1,7.75
1568,7,8.5,15,10,9,9,9.25,11.63,11.25,8,6,5.13
1569,5.25,5.42,4.88,5.25,4.75,4.88,5.5,5.54,5.75,6,5.83,5.75
1570,6,5.92,5.25,5.63,5.38,5.65,5.33,5.33,5.5,5.25,4.88,5.58
1571,5.58,5.88,5.88,6,6.25,6.75,6.5,6,6,6.17,6.42,6.38
1572,7.58,9.38,8.75,8.5,8.33,8.25,8,8.33,7.75,8,7.5,8.58
1573,9.33,10.25,9,9,9.25,8.75,8.88,9,10.5,24,20,22.5
1574,22,21,19,17.25,18,16,17.75,17.25,17,15,14,12.25
1575,10,9.75,7.5,8,8,7.5,7.75,7.75,7.63,7.75,8.25,8.25
1576,6.6,7,6.63,7,7.5,7.25,7.08,8.15,8.5,8.6,8.25,8.33
1577,9,10,9,9.5,9.5,8.5,9,8.75,8,8.25,8.33,7
1578,7.13,7.67,7.25,8.75,9,6.67,6.25,5.85,5.6,5.4,6,5.5
1579,5.75,6.67,5.63,5.63,5.75,6.1,5.6,5.35,5.6,5.25,6,6
1580,6.5,7.25,6.63,6.38,6.5,6,6.5,6.25,6.1,6.35,6.6,6
1581,6.25,7,6,6,5.9,5.75,6.1,6.25,6,6.35,6.35,6.38
1582,6.5,6.63,6.5,6.5,6.75,6.6,6.5,6.6,6.35,7.5,7.25,7.63
1583,8.25,8.33,9.25,9.5,9.5,10.5,10.38,11.25,10.25,10,10.5,9.75
1584,10.5,10.75,10.25,10.5,10.5,10.5,10.25,9.5,9.17,9,8.5,8.5
1585,8.6,9,8.33,7.75,7.5,7,7.25,8.75,7,7,8,8.32
1586,8.88,9.25,10.25,10.63,10.25,10.75,10.75,12.5,15,16.75,16.5,17
1587,16,18,18,17.75,17.5,17,18.5,20.5,23,27,30.5,36
1588,14,15,14.75,13,12.13,9.75,9.75,8.13,7.5,6.75,7,7.75
1589,7.88,7.75,7.13,7.25,9,7.38,7.5,7.38,9.5,9.5,11,12
1590,12.75,13.5,15.5,17.5,17,16.5,16.5,20,30,24,-,-
1591,90,26,24,31.5,45,42,42,36,38,36,28.5,22.5
1592,22.5,24,24,24,22,20,20,19,20,20,19,18
1593,18,18,18,18,18,18,18,18,29,26,23,21
1594,16.5,15.5,14.75,15.5,18,20.5,20,13.75,15,13.25,13,13.5
1595,13.75,13.5,13.75,13.5,14.75,17.5,19.5,18,19.25,23.5,18.25,17.75
1596,15.5,16.5,16.63,16.5,17,19,21.63,19,15,15,18,28.5
1597,17,16,15.75,17,17.5,18,19,20,20,20.5,20,19
1598,16,15.75,16.5,16.75,16.63,17,17,16,16.25,14.63,14,13.75
1599,14,14.5,11.25,12.25,12,12,11.63,10,10,9.38,9.5,9.25
1600,8.63,9,7.75,8.75,9,8,9.5,9,8.75,9,8.5,8.5
1601,8,8.1,8.25,7.5,7.13,8,7.75,9,8,8.38,8.13,8
1602,8.25,8.25,7.38,7.25,8.25,7.75,7.75,7.25,6.5,6.5,7,7
