"writer","kinship","gender"
"Achelen, Aelken van","non","male"
"Albada, Aggaeus de","non","male"
"Anraet, Thomas","non","male"
"Backer, Andre","non","male"
"Banos, Theophile de","non","male"
"Bastingius, Jeremias","non","male"
"Beke, Jan van der","df","male"
"Bellasi, Agostino","non","male"
"Berrewijns, Hans","df","male"
"Bongars, Jacques","non","male"
"Boots, Hans","df","male"
"Bormania, Rinaldo de","non","male"
"Borne, Jan","df","male"
"Bukentop, Hendrick","non","male"
"Burgemeesters of Antwerp","non","male"
"Burmania, Dominiques de","non","male"
"Calvart, Jacques","df","male"
"d'Audenfort, Gomar","non","male"
"Della Faille, Jacques","df","male"
"Della Faille, Jan","df","male"
"Della Faille, Joris","df","male"
"Della Faille, Marten","df","male"
"Eeckeren, Francisco van","df","male"
"Eeckeren, Hester van","df","female"
"Eeckeren, Robert van","df","male"
"Eynde, Anneken van den","vdm","female"
"Frumault, Robert","df","male"
"Goyvaerts, Hendrick","non","male"
"Grabius, Joseph","non","male"
"Hamels, Josina","df","female"
"Hoest, Mattheus de","vdm","male"
"Janssen van der Meulen, Peeter","vdm","male"
"Kindt, P.A.","non","male"
"Klamp, Johann","non","male"
"Languet, Hubert","non","male"
"Lare, J. van","non","male"
"Lempereur, Antonio","vdm","male"
"Maerschalck, Francois de","non","male"
"Maillet, Pierre","non","male"
"Mandernach, Nicolas","non","male"
"Matzo, Cesaro","non","male"
"Meganck, Louis","non","male"
"Meulen, Andries van der","vdm","male"
"Meulen, Sara van der","vdm","female"
"Minau, Balthasar","non","male"
"Montens, Godevart","non","male"
"Moyen, Rodericus der","non","male"
"Neste, Antonio van","df","male"
"Noirot, Jacques","df","male"
"Noirot, Melchior","df","male"
"Oudenforte, R.","non","male"
"Pampius, Albertus","mpm","male"
"Perger, Marttin Enrus","non","male"
"Pierens, Anna","vdm","male"
"Pittavin","non","male"
"Reide, Everhard de","non","male"
"Schot de Oude, Jacques","vdm","male"
"Sixtinus, R.","non","male"
"Staten van Brabant","non","male"
"Stiger, Hans de","non","male"
"Unknown correspondents","non","male"
"Vogele, Joos de","df","male"
"Wale, Jan de","df","male"
"Warck, Reynerus van de","non","male"
"Wolf, Jan de","non","male"
