year,commodity,guilders
1450,ryebread,0.69
1451,ryebread,0.64
1452,ryebread,0.71
1453,ryebread,0.63
1454,ryebread,0.76
1455,ryebread,1.84
1456,ryebread,1.12
1457,ryebread,0.88
1458,ryebread,0.82
1459,ryebread,0.92
1460,ryebread,0.85
1461,ryebread,0.71
1462,ryebread,0.68
1463,ryebread,0.47
1464,ryebread,0.59
1465,ryebread,0.67
1466,ryebread,0.62
1467,ryebread,0.72
1468,ryebread,0.97
1469,ryebread,0.75
1470,ryebread,0.82
1471,ryebread,0.61
1472,ryebread,0.73
1473,ryebread,0.85
1474,ryebread,1.06
1475,ryebread,0.73
1476,ryebread,0.78
1477,ryebread,1.02
1478,ryebread,1.27
1479,ryebread,1.05
1480,ryebread,1.02
1481,ryebread,2.61
1482,ryebread,2.24
1483,ryebread,1.44
1484,ryebread,1.13
1485,ryebread,1.11
1486,ryebread,1.61
1487,ryebread,1.43
1488,ryebread,1.77
1489,ryebread,2.03
1490,ryebread,1.3
1491,ryebread,1.16
1492,ryebread,1.04
1493,ryebread,1.17
1494,ryebread,0.92
1495,ryebread,0.62
1496,ryebread,0.59
1497,ryebread,0.81
1498,ryebread,1.15
1499,ryebread,0.79
1500,ryebread,0.83
1501,ryebread,1.15
1502,ryebread,1.1
1503,ryebread,1.03
1504,ryebread,1.18
1505,ryebread,1.04
1506,ryebread,1.02
1507,ryebread,1.02
1508,ryebread,0.95
1509,ryebread,0.97
1510,ryebread,0.91
1511,ryebread,1.01
1512,ryebread,1.13
1513,ryebread,1.25
1514,ryebread,1.79
1515,ryebread,1.55
1516,ryebread,0.98
1517,ryebread,1.25
1518,ryebread,1.05
1519,ryebread,0.97
1520,ryebread,1.6
1521,ryebread,2.31
1522,ryebread,2.1
1523,ryebread,1.64
1524,ryebread,2.03
1525,ryebread,1.24
1526,ryebread,1.16
1527,ryebread,1.43
1528,ryebread,1.74
1529,ryebread,1.84
1530,ryebread,1.9
1531,ryebread,2.33
1532,ryebread,1.67
1533,ryebread,1.57
1534,ryebread,1.4
1535,ryebread,2.04
1536,ryebread,1.75
1537,ryebread,1.22
1538,ryebread,1.52
1539,ryebread,1.81
1540,ryebread,1.57
1541,ryebread,1.16
1542,ryebread,1.64
1543,ryebread,1.59
1544,ryebread,2.43
1545,ryebread,2.8
1546,ryebread,2.15
1547,ryebread,1.59
1548,ryebread,1.57
1549,ryebread,1.54
1550,ryebread,2.05
1551,ryebread,2.22
1552,ryebread,2.3
1553,ryebread,2.04
1554,ryebread,2.12
1555,ryebread,2.53
1556,ryebread,3.22
1557,ryebread,2.7
1558,ryebread,1.66
1559,ryebread,2.49
1560,ryebread,2.12
1561,ryebread,2.29
1562,ryebread,2.45
1563,ryebread,2.44
1564,ryebread,2.29
1565,ryebread,4.36
1566,ryebread,2.72
1567,ryebread,3.42
1568,ryebread,3.07
1569,ryebread,2.58
1570,ryebread,3.16
1571,ryebread,3.37
1572,ryebread,5.08
1573,ryebread,6.68
1574,ryebread,6.02
1575,ryebread,4.26
1576,ryebread,3.14
1577,ryebread,4.54
1578,ryebread,4.73
1579,ryebread,4.32
1580,ryebread,5.09
1581,ryebread,4.65
1582,ryebread,4.03
1583,ryebread,3.73
1584,ryebread,3.72
1585,ryebread,3.54
1586,ryebread,3.76
1587,ryebread,5.32
1588,ryebread,5.13
1589,ryebread,4.2
1590,ryebread,4.64
1591,ryebread,4.67
1592,ryebread,3.37
1593,ryebread,3.4
1594,ryebread,4.33
1595,ryebread,5.86
1596,ryebread,6.79
1597,ryebread,7.8
1598,ryebread,7.88
1599,ryebread,7.71
1600,ryebread,6.96
1601,ryebread,5.78
1602,ryebread,5.7
1603,ryebread,6.54
1604,ryebread,6.04
1605,ryebread,5.37
1606,ryebread,4.61
1607,ryebread,5.03
1608,ryebread,6.54
1609,ryebread,6.62
1610,ryebread,6.04
1611,ryebread,6.2
1612,ryebread,6.62
1613,ryebread,6.62
1614,ryebread,6.04
1615,ryebread,5.53
1616,ryebread,6.37
1617,ryebread,6.96
1618,ryebread,6.37
1619,ryebread,5.53
1620,ryebread,5.37
1621,ryebread,5.37
1622,ryebread,6.96
1623,ryebread,8.47
1624,ryebread,9.14
1625,ryebread,8.63
1626,ryebread,8.22
1627,ryebread,8.47
1628,ryebread,8.97
1629,ryebread,10.81
1630,ryebread,12.91
1631,ryebread,12.16
1632,ryebread,8.13
1633,ryebread,7.46
1634,ryebread,8.22
1635,ryebread,7.46
1636,ryebread,7.46
1637,ryebread,8.63
1638,ryebread,8.89
1639,ryebread,8.05
1640,ryebread,8.89
1641,ryebread,8.05
1642,ryebread,7.54
1643,ryebread,8.22
1644,ryebread,9.14
1645,ryebread,8.22
1646,ryebread,7.38
1647,ryebread,7.96
1648,ryebread,9.31
1649,ryebread,10.81
1650,ryebread,11.82
1651,ryebread,12.49
1652,ryebread,12.32
1653,ryebread,9.98
1654,ryebread,7.88
1655,ryebread,7.21
1656,ryebread,8.89
1657,ryebread,8.63
1658,ryebread,8.8
1659,ryebread,9.39
1660,ryebread,10.06
1661,ryebread,11.65
1662,ryebread,14.42
1663,ryebread,11.57
1664,ryebread,8.63
1665,ryebread,10.9
1666,ryebread,8.47
1667,ryebread,8.13
